NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"800,080,027",EXPOFARO SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,1410,MANUFACTURA,0.17,0.01,0.19,0.11,0.08,"2,022","Confección de prendas de vestir, excepto prendas de piel"
"860,013,704",GASES INDUSTRIALES DE COLOMBIA SA CRYOGAS SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,2011,MANUFACTURA,0.17,0.02,0.22,0.04,0.19,"2,022",Fabricación de sustancias y productos químicos básicos
"900,682,561",HIDROCARBUROS DEL CASANARE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1921,MANUFACTURA,0.17,0.03,0.14,0.08,0.05,"2,022",Fabricación de productos de hornos de coque
"860,518,811",QUIMICA COSMOS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2022,MANUFACTURA,0.17,0.01,0.11,0.06,0.05,"2,022","Fabricación de pinturas, barnices y revestimientos similares, tintas de impresión y masillas"
"900,360,800",ATB RIVA CALZONI COLOMBIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2592,MANUFACTURA,0.17,0.01,0.11,0.07,0.03,"2,022",Tratamiento y revestimiento de metales; mecanizado
"804,009,833",INDUNILO SOCIEDAD ANONIMA SIMPLEIFICADA POR ACCIONES,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,1040,MANUFACTURA,0.17,0.01,0.07,0.05,0.02,"2,022",Elaboración de aceites y grasas de origen vegetal y animal
"900,671,882",SOLENIS COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GIRARDOTA -ANTIOQUIA,2029,MANUFACTURA,0.17,0.0,0.16,0.14,0.02,"2,022",Fabricación de otros productos químicos n.c.p.
"811,007,991",MAQUILA INTERNACIONAL DE CONFECCION SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,1410,MANUFACTURA,0.17,0.01,0.11,0.07,0.04,"2,022","Confección de prendas de vestir, excepto prendas de piel"
"860,034,812",PELICULAS EXTRUIDAS S A S PELEX S AS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2221,MANUFACTURA,0.17,0.01,0.1,0.07,0.03,"2,022",Fabricación de formas básicas de plástico
"805,019,723",BSN MEDICAL LTDA,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,2100,MANUFACTURA,0.17,0.01,0.18,0.1,0.08,"2,022","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"890,940,122",INDUSTRIA MERCADEO YCOLOR SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,1410,MANUFACTURA,0.17,0.01,0.2,0.17,0.02,"2,022","Confección de prendas de vestir, excepto prendas de piel"
"890,900,267",PRODUCTORA Y COMERCIALIZADORA ODONTOLOGICA NEW STETIC SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GUARNE -ANTIOQUIA,3250,MANUFACTURA,0.16,0.02,0.15,0.09,0.06,"2,022","Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)"
"900,013,167",DIAZ Y RESTREPO SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,1084,MANUFACTURA,0.16,0.01,0.06,0.04,0.03,"2,022",Elaboración de comidas y platos preparados
"860,090,222",TOXEMENT SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA -CUNDINAMARCA,2029,MANUFACTURA,0.16,0.02,0.16,0.03,0.13,"2,022",Fabricación de otros productos químicos n.c.p.
"900,324,132",SUPERCARNES JH SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1011,MANUFACTURA,0.16,0.0,0.03,0.02,0.01,"2,022",Procesamiento y conservación de carne y productos cárnicos
"800,022,371",COLOMBIANA DE EXTRUSION SA EXTRUCOL,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,2221,MANUFACTURA,0.16,0.01,0.1,0.06,0.04,"2,022",Fabricación de formas básicas de plástico
"900,441,048",EUROFARMA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,0.16,0.02,0.2,0.06,0.15,"2,022","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"860,054,886",INCOLBEST SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2930,MANUFACTURA,0.16,0.01,0.16,0.1,0.05,"2,022","Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"900,809,717",INDUSTRIAS GRAFICAS LATINIOAMERICANA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1811,MANUFACTURA,0.16,-0.01,0.39,0.36,0.03,"2,022",Actividades de impresión
"806,007,073",CI MEXICHEM COMPUESTOS COLOMBIA SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2013,MANUFACTURA,0.16,-0.0,0.12,0.03,0.08,"2,022",Fabricación de plásticos en formas primarias
"890,300,684",RECKITT BENCKISER COLOMBIA SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,2023,MANUFACTURA,0.16,0.01,0.11,0.08,0.03,"2,022","Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador"
"860,074,358",LABORATORIOS BUSSIE SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,0.16,0.01,0.21,0.12,0.1,"2,022","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"891,701,595",MOLINOS SANTA MARTA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1051,MANUFACTURA,0.16,0.02,0.18,0.09,0.09,"2,022",Elaboración de productos lácteos
"800,024,095",MANITOBA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,1089,MANUFACTURA,0.16,0.0,0.08,0.06,0.02,"2,022",Elaboración de otros productos alimenticios n.c.p.
"900,482,687",MM PACKAGING COLOMBIA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,1709,MANUFACTURA,0.16,0.02,0.15,0.08,0.06,"2,022",Fabricación de otros artículos de papel y cartón
"901,232,631",FAREVA VILLARICA SAS,SUPERSOCIEDADES,Costa Pacífica,CAUCA,VILLA-RICA-CAUCA-CAUCA,2100,MANUFACTURA,0.16,0.0,0.12,0.04,0.08,"2,022","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"811,042,572",COLHILADOS LTD,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,RIONEGRO-ANTIOQUIA,1311,MANUFACTURA,0.16,0.01,0.18,0.1,0.08,"2,022",Preparación e hilatura de fibras textiles
"900,464,876",ALTAMIRA SUPREMO SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,1061,MANUFACTURA,0.16,-0.0,0.03,0.02,0.01,"2,022",Trilla de café
"901,211,275",OLEO INVERSIONES SAS -ZOMAC,SUPERSOCIEDADES,Otros,CASANARE,MANI-CASANARE-CASANARE,1031,MANUFACTURA,0.16,0.01,0.04,0.02,0.02,"2,022",Elaboración de alimentos y piensos compuestos
"800,130,149",SUPERTEX SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,1410,MANUFACTURA,0.16,0.0,0.14,0.11,0.03,"2,022","Confección de prendas de vestir, excepto prendas de piel"
"860,002,291",EMPRESA COLOMBIANA DE CABLES SAS EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CAJICA-CUNDINAMARCA,2410,MANUFACTURA,0.16,0.02,0.2,0.13,0.07,"2,022",Industrias básicas de hierro y de acero
"830,106,474",POLIMIX CONCRETO COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2395,MANUFACTURA,0.16,0.01,0.09,0.05,0.04,"2,022","Fabricación de artículos de hormigón, cemento y yeso"
"900,131,529",INDUSTRIAS TOMY SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,1081,MANUFACTURA,0.16,0.02,0.03,0.02,0.01,"2,022",Elaboración de productos de panadería
"900,121,530",EXTRACTORA SAN FERNANDO SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,1031,MANUFACTURA,0.16,0.01,0.07,0.03,0.04,"2,022",Elaboración de alimentos y piensos compuestos
"900,520,112",PRIMADERA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1620,MANUFACTURA,0.16,-0.01,0.33,0.11,0.22,"2,022","Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
"890,807,976",BELLOTA COLOMBIA SAS,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,2593,MANUFACTURA,0.16,0.01,0.08,0.03,0.05,"2,022","Fabricación de artículos de alambre, productos de tornillería y resortes"
"860,003,628",HACIENDA LA CABAÑA SA EN REORGANIZACIOM,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1031,MANUFACTURA,0.16,0.02,0.35,0.09,0.27,"2,022",Elaboración de alimentos y piensos compuestos
"860,000,258",COMPANIA MANUFACTURERA DE PAN COMAPAN SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1081,MANUFACTURA,0.15,0.0,0.09,0.05,0.04,"2,022",Elaboración de productos de panadería
"800,070,312",CI SILICAR SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,GALAPA-ATLANTICO,1090,MANUFACTURA,0.15,0.0,0.03,0.02,0.02,"2,022",Elaboración de alimentos preparados para animales
"900,097,459",INDUSTRIA COLOMBIANA DE ASFALTOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,1921,MANUFACTURA,0.15,0.01,0.04,0.02,0.01,"2,022",Fabricación de productos de hornos de coque
"890,302,609",SONOCO DE COLOMBIA LTDA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,1702,MANUFACTURA,0.15,0.02,0.18,0.09,0.09,"2,022","Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón"
"802,005,820",DITAR SA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,1811,MANUFACTURA,0.15,0.01,0.1,0.05,0.04,"2,022",Actividades de impresión
"890,905,790",COLOMBIANA FLEXOGRAFICA DE PLASTICOS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,2229,MANUFACTURA,0.15,0.0,0.19,0.09,0.1,"2,022",Fabricación de otros productos de plástico n.c.p.
