NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"860,069,804",CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,6.05,-0.77,8.82,4.03,4.8,"2,024",Extracción de hulla (carbón de piedra)
"900,331,322",VERANO ENERGY (SWITZERLAND) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,5.48,0.7,13.86,8.34,5.52,"2,024",Extracción de petróleo crudo
"830,126,302",FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,4.25,-0.01,7.9,2.33,5.57,"2,024",Extracción de petróleo crudo
"900,166,687",CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,2.9,0.79,4.63,1.68,2.95,"2,024",Extracción de minerales de metales preciosos
"830,078,038",CERREJON ZONA NORTE SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,2.67,-0.47,6.18,1.57,4.61,"2,024",Extracción de hulla (carbón de piedra)
"860,072,134",HOCOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,2.66,0.06,4.62,1.66,2.96,"2,024",Extracción de petróleo crudo
"900,493,698",GEOPARK COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,2.42,0.36,5.58,3.82,1.76,"2,024",Extracción de petróleo crudo
"860,069,378",CERRO MATOSO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0723,MINERO,2.21,-0.52,1.81,1.51,0.29,"2,024",Extracción de minerales de níquel y otros minerales de la familia del níquel
"860,002,523",CEMEX COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0811,MINERO,1.97,-0.03,3.3,1.19,2.12,"2,024","Extracción de piedra, arena y arcillas comunes"
"860,053,930",SIERRACOL ENERGY ARAUCA LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.94,0.73,1.17,0.69,0.48,"2,024",Extracción de petróleo crudo
"900,306,309",ARIS MINING SEGOVIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,1.87,0.44,2.28,0.46,1.83,"2,024",Extracción de minerales de metales preciosos
"860,004,864",SIERRACOL ENERGY ANDINA LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.65,0.08,3.29,1.26,2.03,"2,024",Extracción de petróleo crudo
