NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"900,651,817",SERAGRO SERVICIOS AGROPECUARIOS SURAMERICANOS SAS,SUPERSOCIEDADES,Otros,META,VILLAVICENCIO-META,4664,COMERCIO,0.03,0.0,0.01,0.0,0.0,"2,024","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"805,013,891",SUPERAUTOCENTRO MOBIL EL LIDO SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4731,COMERCIO,0.03,-0.0,0.0,0.0,0.0,"2,024",Comercio al por menor de combustible para automotores
"900,791,265",FIGUHIERROS FT SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,GIRON-SANTANDER,4752,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,024","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados"
"890,501,070",DROCENTRO LTDA,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,4645,COMERCIO,0.03,0.0,0.01,0.0,0.01,"2,024","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"900,142,798",SOLUCIONES INSTITUCIONALES DEL LLANO SAS,SUPERSOCIEDADES,Otros,META,VILLAVICENCIO-META,4649,COMERCIO,0.03,0.0,0.02,0.01,0.01,"2,024",Comercio al por mayor de otros enseres domésticos n.c.p.
"800,057,938",ALV SERVICIOS Y SUMINISTROS LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4731,COMERCIO,0.03,0.0,0.01,0.0,0.01,"2,024",Comercio al por menor de combustible para automotores
"890,908,096",INVERSIONES FLORENCIA SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4731,COMERCIO,0.03,0.0,0.02,0.0,0.01,"2,024",Comercio al por menor de combustible para automotores
"901,321,095",JARAMILLO BERNAL SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,4731,COMERCIO,0.03,-0.0,0.0,0.0,0.0,"2,024",Comercio al por menor de combustible para automotores
"900,050,616",DISMOTOS PATRICIA MEJIA E U,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4541,COMERCIO,0.03,0.0,0.04,0.0,0.03,"2,024","Comercio de motocicletas y de sus partes, piezas y accesorios"
"901,070,257",RODIN CI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4669,COMERCIO,0.03,0.0,0.02,0.02,0.0,"2,024",Comercio al por mayor de otros productos n.c.p.
"830,006,651",DISTRIVISION LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,0.03,0.0,0.0,0.0,0.0,"2,024","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
