NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"899,999,068",ECOPETROL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.-BOGOTA D.C.",0610,MINERO,129.51,19.06,198.73,120.34,78.39,"2,023",Extracción de petróleo crudo
"900,112,515",REFINERIA DE CARTAGENA SAS,SUPERSERVICIOS,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,1921,MANUFACTURA,32.05,3.49,37.08,12.34,24.74,"2,023",Fabricación de productos de hornos de coque
"890,100,577",AVIANCA,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.-BOGOTA D.C.",5111,SERVICIOS,27.15,0.22,18.94,20.04,-1.11,"2,023",Transporte aéreo nacional de pasajeros
"830,095,213",ORGANIZACIÓN TERPEL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.-BOGOTA D.C.",4661,COMERCIO,23.05,0.29,7.36,4.61,2.75,"2,023","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"900,156,264",NUEVA EPS SA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.-BOGOTA D.C.",8430,SERVICIOS,20.28,-0.34,6.82,6.67,0.14,"2,023",Actividades de planes de seguridad social de afiliación obligatoria
"890,904,996",EMPRESAS PÚBLICAS DE MEDELLÍN ESP,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3513,SERVICIOS,17.78,3.77,62.7,33.25,29.45,"2,023",Distribución de energía eléctrica
"900,276,962",D1 SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.-BOGOTA D.C.",4711,COMERCIO,17.42,0.29,5.68,5.51,0.18,"2,023","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"890,900,608",ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4711,COMERCIO,15.73,0.13,13.58,7.48,6.1,"2,023","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"800,021,308",DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.-BOGOTA D.C.",0510,MINERO,15.51,3.27,11.83,3.75,8.07,"2,023",Extracción de hulla (carbón de piedra)
"860,063,875",EMGESA SA ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.-BOGOTA D.C.",3514,SERVICIOS,15.31,1.93,27.54,14.41,13.13,"2,023",Comercialización de energía eléctrica
