NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"811,013,065",GENERAL ELECTRIC INTERNATIONAL INC SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7010,SERVICIOS,0.03,-0.0,0.06,0.07,-0.01,"2,021",Actividades de administración empresarial
"802,006,482",BAPACOL SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,6810,SERVICIOS,0.03,0.0,0.21,0.05,0.16,"2,021",Actividades inmobiliarias realizadas con bienes propios o arrendados
"800,006,608",MIPKO CONSTRUCTORES SAS,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA MARTA-MAGDALENA,4111,CONSTRUCCIÓN,0.03,0.01,0.09,0.07,0.03,"2,021",Construcción de edificios residenciales
"830,136,939",BLOOMS DIRECT SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,RIONEGRO-ANTIOQUIA,0125,AGROPECUARIO,0.03,0.0,0.02,0.02,0.0,"2,021",Cultivo de otros árboles y arbustos frutales y de nueces
"860,027,583",INIRCO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6810,SERVICIOS,0.03,0.01,0.22,0.1,0.12,"2,021",Actividades inmobiliarias realizadas con bienes propios o arrendados
"900,237,546",MANGUERAS Y CORREAS DE ANTIOQUIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4752,COMERCIO,0.03,0.0,0.02,0.01,0.01,"2,021","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados"
"900,612,381",ANGIODINAMIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8621,SERVICIOS,0.03,0.0,0.02,0.01,0.01,"2,021","Actividades de la práctica médica, sin internación"
"900,612,531",GRUPO OPERADOR CLINICO HOSPITALARIO POR OUTSOURCING SAS - G OCHO SAS,SUPERSALUD,Costa Pacífica,VALLE,CALI-VALLE,8610,SERVICIOS,0.03,0.0,0.02,0.02,0.0,"2,021","Actividades de hospitales y clínicas, con internación"
"800,089,872",DISMEL LTDA,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,TURBACO-BOLIVAR,4632,COMERCIO,0.03,0.0,0.02,0.01,0.01,"2,021",Comercio al por mayor de bebidas y tabaco
"900,720,974",LLUCH ESSENCE S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,4664,COMERCIO,0.03,-0.0,0.02,0.02,0.0,"2,021","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"890,908,711",SILICATOS PARA LA INDUSTRIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,2011,MANUFACTURA,0.03,0.0,0.01,0.0,0.01,"2,021",Fabricación de sustancias y productos químicos básicos
"900,230,040",BIO STEEL DE COLOMBIA SA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4773,COMERCIO,0.03,0.01,0.05,0.01,0.04,"2,021","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
"830,013,746",WATTLE PETROLEUM COMPANY SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C-BOGOTA D.C.,0620,MINERO,0.03,0.01,0.09,0.05,0.04,"2,021",Extracción de gas natural
"800,114,867",MONGIBELLO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0125,AGROPECUARIO,0.03,0.0,0.01,0.01,0.0,"2,021",Cultivo de otros árboles y arbustos frutales y de nueces
"900,109,697",SAJ DISTRIBUCIONES SAS,SUPERSOCIEDADES,Costa Pacífica,CAUCA,POPAYAN-CAUCA,4732,COMERCIO,0.03,0.0,0.01,0.01,0.01,"2,021","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores"
"890,917,398",MINERALES INDUSTRIALES SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,0899,MINERO,0.03,0.0,0.02,0.01,0.01,"2,021",Extracción de otros minerales n.c.p.
"800,031,929",INVESTA UNO SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,8530,SERVICIOS,0.03,0.02,0.13,0.03,0.1,"2,021",Establecimientos que combinan diferentes niveles de educación
"900,038,601",AIR CARGOPACK SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5122,SERVICIOS,0.03,0.0,0.01,0.01,0.0,"2,021",Transporte aéreo internacional de carga
"901,099,878",CONSTRUEJE SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,4752,COMERCIO,0.03,0.0,0.01,0.0,0.0,"2,021","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados"
"900,522,125",CONSTRUCTORA OSSA LOPEZ SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4290,CONSTRUCCIÓN,0.03,0.0,0.02,0.01,0.01,"2,021",Construcción de otras obras de ingeniería civil
"900,518,245",CARAT COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7310,SERVICIOS,0.03,0.0,0.04,0.03,0.0,"2,021",Publicidad
"890,312,652",QUIMICA BASICA COLOMBIANA SA QBC,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,2011,MANUFACTURA,0.03,0.01,0.05,0.02,0.03,"2,021",Fabricación de sustancias y productos químicos básicos
"804,011,768",ASSALUD IPS,SUPERSALUD,Centro - Oriente,NORTE DE SANTANDER,BUCARAMANGA-NORTE DE SANTANDER,9499,SERVICIOS,0.03,-0.01,0.04,0.01,0.03,"2,021",Actividades de otras asociaciones n.c.p.
"830,507,587",IMW COLOMBIA LTDA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,3312,MANUFACTURA,0.03,0.0,0.03,0.02,0.01,"2,021",Mantenimiento y reparación especializado de maquinaria y equipo
"900,357,414",FUNDACION AVANZAR FOS,SUPERSALUD,Otros,ARAUCA,ARAUCA-ARAUCA,8621,SERVICIOS,0.03,-0.0,0.02,0.01,0.0,"2,021","Actividades de la práctica médica, sin internación"
"892,301,291",VIVA MAYALES SAS,SUPERSOCIEDADES,Costa Atlántica,CESAR,VALLEDUPAR-CESAR,4111,CONSTRUCCIÓN,0.03,0.0,0.06,0.05,0.01,"2,021",Construcción de edificios residenciales
"900,450,252",COMERCIALIZADORA GLOBAL LIQUORS SOCIEDAD POR ACCIONES SIMPLIFICADA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4632,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021",Comercio al por mayor de bebidas y tabaco
"821,000,831",EMPRESA SOCIAL DEL ESTADO HOSPITAL RUBEN CRUZ VELEZ,SUPERSALUD,Costa Pacífica,VALLE,TULUA-VALLE,8610,SERVICIOS,0.03,0.0,0.01,0.0,0.01,"2,021","Actividades de hospitales y clínicas, con internación"
"805,003,416",ADHESIVOS INTERNACIONALES ADHINTER SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,2100,MANUFACTURA,0.03,0.0,0.02,0.01,0.01,"2,021","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"830,116,510",COMERCIALIZADORA NATURAL LIGHT SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4773,COMERCIO,0.03,0.0,0.02,0.01,0.0,"2,021","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
"890,922,294",PROTOKIMICA S A S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4664,COMERCIO,0.03,0.0,0.02,0.01,0.01,"2,021","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"890,923,402",JOSE FELIX ESCOBAR H Y CIA LTDA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4390,CONSTRUCCIÓN,0.03,0.0,0.01,0.0,0.0,"2,021",Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil
"900,130,730",DISTRIBUIDORA CERAMICAS MODERNA DEL CAUCA SA,SUPERSOCIEDADES,Costa Pacífica,CAUCA,POPAYAN-CAUCA,4663,COMERCIO,0.03,0.0,0.01,0.0,0.01,"2,021","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
"860,517,560",EMPRESA DE SEGURIDAD Y VIGILANCIA PRIVADA SERVICONFOR LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8010,SERVICIOS,0.03,0.0,0.02,0.0,0.01,"2,021",Actividades de seguridad privada
"830,095,438",PEPAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1410,MANUFACTURA,0.03,0.0,0.01,0.01,0.0,"2,021","Confección de prendas de vestir, excepto prendas de piel"
"900,337,549",SISTEMAS EN PROTECCION CONTRA INCENDIO SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,4290,CONSTRUCCIÓN,0.03,0.0,0.02,0.01,0.01,"2,021",Construcción de otras obras de ingeniería civil
"810,002,614",SPARTA SAS,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,7820,SERVICIOS,0.03,0.0,0.0,0.0,0.0,"2,021",Actividades de agencias de empleo temporal
"901,321,677",SILEM CAPITAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C-BOGOTA D.C.,6493,SERVICIOS,0.03,0.01,0.05,0.04,0.01,"2,021",Actividades de las fiduciarias
"900,550,459",VISA COLOMBIA SOCIEDAD ANONIMA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8299,SERVICIOS,0.03,0.0,0.01,0.0,0.0,"2,021",Otras actividades de servicio de apoyo a las empresas n.c.p.
"900,457,695",COSECHARTE SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,5629,SERVICIOS,0.03,0.0,0.01,0.0,0.01,"2,021",Actividades de otros servicios de comidas
"900,301,315",TREFILADOS Y MALLAS DE COLOMBIA SAS EN REORGANIZACION,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,2511,COMERCIO,0.03,0.0,0.02,0.01,0.0,"2,021",Fabricación de productos metálicos para uso estructural
"805,013,094",MASERVINOX SAS MANTENIMIENTO SERVICIOS INOXIDABLES,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,4754,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021","Comercio al por menor de electrodomésticos, muebles, equipo de iluminación y otros enseres domésticos en establecimientos especializados"
"830,090,073",ASOCIACION DE AMIGOS CONTRA EL CANCER PROSEGUIR,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8621,SERVICIOS,0.03,0.0,0.04,0.02,0.01,"2,021","Actividades de la práctica médica, sin internación"
"890,929,264",CENTRO MUSICAL SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4649,COMERCIO,0.03,0.0,0.03,0.02,0.01,"2,021",Comercio al por mayor de otros enseres domésticos n.c.p.
"900,651,817",SERAGRO SERVICIOS AGROPECUARIOS SURAMERICANOS SAS,SUPERSOCIEDADES,Otros,META,VILLAVICENCIO-META,4664,COMERCIO,0.03,0.0,0.01,0.0,0.0,"2,021","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"860,527,527",TECNIFIL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2930,MANUFACTURA,0.03,0.0,0.02,0.01,0.01,"2,021","Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"900,499,757",IPANU SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4690,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"800,126,688",ORGANIZACION NACIONAL DE SERVICIOS SAS SERVINACIONAL SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4610,COMERCIO,0.03,0.0,0.01,0.01,0.01,"2,021",Comercio al por mayor a cambio de una retribución o por contrata
"900,047,252",EL TEMPLO DE LA MODA FRESCA SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BARRANCABERMEJA-SANTANDER,4771,COMERCIO,0.03,0.0,0.03,0.02,0.01,"2,021",Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados
"800,239,454",ASSISTCARD DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7990,SERVICIOS,0.03,0.0,0.03,0.01,0.02,"2,021",Otros servicios de reserva y actividades relacionadas
"812,000,025",CENOR SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,CAUCASIA-ANTIOQUIA,4663,COMERCIO,0.03,0.0,0.02,0.01,0.02,"2,021","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
"860,517,522",CARNAZAS COLOMBIANA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,0.03,0.0,0.01,0.0,0.0,"2,021",Comercio al por mayor de materias primas agropecuarias; animales vivos
"800,177,012",JASA LTDA,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,4290,CONSTRUCCIÓN,0.03,0.0,0.02,0.01,0.01,"2,021",Construcción de otras obras de ingeniería civil
"900,622,755",ARCHROMA COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,4664,COMERCIO,0.03,-0.0,0.02,0.02,0.0,"2,021","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"900,007,640",OPORTUNIDAD EMPRESARIAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8523,SERVICIOS,0.03,0.0,0.02,0.02,0.0,"2,021",Educación media técnica y de formación para el trabajo
"811,043,214",INVERSIONES JALBOR SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4754,COMERCIO,0.03,0.0,0.03,0.01,0.02,"2,021","Comercio al por menor de electrodomésticos, muebles, equipo de iluminación y otros enseres domésticos en establecimientos especializados"
"900,180,449",CONCRE TOLIMA SA,SUPERSOCIEDADES,Otros,TOLIMA,IBAGUE-TOLIMA,2396,MANUFACTURA,0.03,0.0,0.02,0.01,0.01,"2,021","Corte, tallado y acabado de la piedra"
"811,026,142",DISTRIBUIDORA VENUS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,4643,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021","Comercio al por mayor de equipos de radio, televisión y comunicaciones"
"860,076,607",SUPERNUMERARIOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7820,SERVICIOS,0.03,0.0,0.01,0.0,0.0,"2,021",Actividades de agencias de empleo temporal
